AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,PersonIdentityID
1,1,Abhiram Vasa,17,M,A1,345
2,2,Janya Kala,20,T,A1,346
3,3,Champak Barad,16,M,A1,347
4,4,Jackson Kunda,32,M,A1,348
5,5,Balvan Nair,24,M,A1,349
6,6,Mason Barad,26,M,A1,350
7,7,Priya Saraf,42,F,A1,351
8,8,Falan Narain,31,M,A1,352
9,8,Faraj Bedi,19,M,A2,353
10,8,Udant Thaman,47,M,A3,354
11,9,Ronith Divan,29,M,A1,355
12,10,Siddharth Khatri,33,M,A1,266
13,10,Aryan Rastogi,31,M,A2,356
14,10,Brijesh Rastogi,46,M,A3,357
15,11,Jairaj Bora,44,M,A1,358
16,11,Tanveer Naik,22,M,A2,359
17,11,Daksh Sachdev,25,M,A3,360
18,12,Naveen Padmanabhan,54,M,A1,361
19,12,Michael Gara,37,M,A2,362
20,13,Jagdish Gandhi,44,M,A1,100
21,13,Udant Dutta,25,M,A2,101
22,14,Advay Dass,32,M,A1,239
23,14,Pavani Choudhry,25,F,A2,363
24,15,Noah Kadakia,16,M,A1,364
25,16,Banjeet Dhingra,28,M,A1,281
26,16,Kalpit Dugal,16,M,A2,256
27,17,Joshua Garde,30,M,A1,365
28,17,Lucky Iyer,16,M,A2,366
29,18,Pranit Chokshi,27,M,A1,367
30,19,Nakul Sundaram,40,M,A1,368
31,20,Michael Nath,31,M,A1,369
32,20,Shravya Dugar,20,F,A2,370
33,20,Oscar Pandey,43,M,A3,371
34,21,Sai Thaman,18,M,A1,337
35,22,Faqid Om,28,M,A1,372
36,22,Ekapad Chahal,51,M,A2,373
37,23,Harshil Devi,22,M,A1,374
38,23,Ekapad More,39,M,A2,375
39,24,Amruta Nagar,28,F,A1,376
40,25,Dev Deep,28,M,A1,248
41,25,Chatresh Deep,38,M,A2,377
42,26,Samaksh Bora,27,M,A1,233
43,26,Kala Kashyap,46,F,A2,378
44,27,Yatan Som,50,M,A1,379
45,28,Lopa Sachar,32,F,A1,380
46,29,Hema Sarna,51,F,A1,381
47,30,Tanay Ravel,41,M,A1,382
48,30,Ranveer Munshi,38,M,A2,383
49,31,Anmol Ram,18,M,A1,384
50,31,Girish Manne,26,M,A2,385
51,31,Rushil Modi,28,M,A3,386
52,32,Manan Bhagat,28,M,A1,387
53,33,Zashil Chowdhury,47,M,A1,388
54,34,Anirudh Rajagopalan,27,M,A1,163
55,34,Abdul Jaggi,39,M,A2,166
56,34,Indrajit Prabhakar,35,M,A3,162
57,34,Yoshita Mangat,16,F,A4,164
58,34,Gagan Talwar,16,M,A5,165
59,35,Neel Gade,33,M,A1,389
60,35,Chakradev Comar,19,M,A2,390
61,36,Oliver Doctor,23,M,A1,391
62,37,Shaurya Morar,18,M,A1,392
63,37,Udant Mani,44,M,A2,393
64,38,Veer Tank,20,M,A1,394
65,39,Ikbal Soni,30,M,A1,395
66,39,Samarth Sathe,16,M,A2,396
67,40,Andrew Dhillon,31,M,A1,397
68,41,Gaurav Edwin,29,M,A1,398
69,41,Gaurang Shah,31,M,A2,399
70,42,Bahadurjit Sane,34,M,A1,400
71,43,Samuel Vohra,35,M,A1,401
72,44,Caleb Sule,27,M,A1,402
73,44,Tanay Nadig,26,M,A2,403
74,44,Peter Dayal,31,M,A3,404
75,45,Viraj Dalal,24,M,A1,405
76,45,Sarthak Sachdev,31,M,A2,406
77,45,Ojas Palla,43,M,A3,407
78,46,Mason Toor,43,M,A1,408
79,46,Aarush Comar,36,M,A2,409
80,46,Onkar Randhawa,38,M,A3,410
81,47,Andrew Deshpande,22,M,A1,411
82,48,Jai Lanka,24,M,A1,193
83,48,Zaid Iyengar,36,M,A2,192
84,48,Jyoti Jain,28,F,A3,194
85,48,Darpan Brar,36,M,A4,196
86,49,Bachittar Dixit,31,M,A1,412
87,50,Bahadurjit Krishna,29,M,A1,77
88,50,Chandresh Mane,32,M,A2,80
89,50,Hardik Sur,27,M,A3,78
90,51,Caleb Taneja,42,M,A1,413
91,52,Hritik Vohra,32,M,A1,414
92,52,Gagan Choudhury,30,M,A2,415
93,53,Tristan Toor,54,M,A1,416
94,54,Mohammed Narang,18,M,A1,417
95,55,Harshil Bansal,34,M,A1,418
96,56,Caleb Nath,25,M,A1,419
97,56,Arin Chauhan,21,M,A2,420
98,56,Alka Muni,39,F,A3,421
