CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,104470027202600001,202600001,2025-05-26,1109,27,1,2,5,24,2,13,2025-05-24T05:48:51,2025-05-24T08:58:51,2025-05-25T13:48:51,15.850366,74.572007,"The complainant Matthew Ahuja reported that on 2025-05-24 at about 05:48 hours, Abhiram Vasa committed an offence of gambling involving Matthew Ahuja within the limits of Belagavi City PS, Belagavi. A case has been registered under Section 87 KP and investigation is in progress at Belagavi City PS."
2,304550079202600001,202600001,2025-02-14,565,79,2,2,2,12,3,,2025-02-11T08:07:40,2025-02-11T11:58:40,2025-02-13T20:07:40,13.378079,74.612474,"The complainant Advay Majumdar reported that on 2025-02-11 at about 08:07 hours, Janya Kala committed an offence of extortion involving Advay Majumdar within the limits of Udupi City PS, Udupi. A case has been registered under Section 384 IPC and investigation is in progress at Udupi City PS."
3,104480033202600001,202600001,2025-12-03,944,33,1,1,3,17,2,16,2025-12-03T08:22:05,2025-12-03T10:48:05,2025-12-03T10:22:05,17.230152,76.77017,"The complainant Pranav Dugal reported that on 2025-12-03 at about 08:22 hours, Champak Barad committed an offence of kidnapping of woman involving Libni Peri within the limits of Kalaburagi City PS, Kalaburagi. A case has been registered under Section 366 IPC and investigation is in progress at Kalaburagi City PS."
4,104530067202600001,202600001,2026-03-20,1144,67,1,1,1,1,1,,2026-03-19T00:13:36,2026-03-19T03:30:36,2026-03-20T00:13:36,13.358641,77.100956,"The complainant Charita Ratta reported that on 2026-03-19 at about 00:13 hours, Jackson Kunda committed an offence of murder involving Charita Ratta within the limits of Tumakuru Central PS, Tumakuru. A case has been registered under Section 302 IPC and investigation is in progress at Tumakuru Central PS."
5,104540071202600001,202600001,2025-04-04,1148,71,1,3,4,18,3,,2025-04-02T19:34:47,2025-04-02T20:49:47,2025-04-04T01:34:47,14.630568,75.877436,"The complainant Gabriel Sura reported that on 2025-04-02 at about 19:34 hours, Balvan Nair committed an offence of cheating involving Gabriel Sura within the limits of Davanagere Rural PS, Davanagere. A case has been registered under Section 420 IPC and investigation is in progress at Davanagere Rural PS."
6,404570097202600001,202600001,2025-07-03,449,97,3,1,3,14,3,,2025-07-02T22:04:12,2025-07-02T23:06:12,2025-07-03T10:04:12,12.450612,76.922297,"The complainant Balveer Bhalla reported that on 2025-07-02 at about 22:04 hours, Mason Barad committed an offence of dowry death involving Balveer Bhalla within the limits of Mandya Central PS, Mandya. A case has been registered under Section 304B IPC and investigation is in progress at Mandya Central PS."
7,104470029202600001,202600001,2025-06-02,215,29,1,2,2,12,2,14,2025-05-29T07:01:54,2025-05-29T10:27:54,2025-05-31T21:01:54,15.741674,74.535525,"The complainant Darpan Karan reported that on 2025-05-29 at about 07:01 hours, Priya Saraf committed an offence of extortion involving Rayaan Bhagat within the limits of Belagavi North PS, Belagavi. A case has been registered under Section 384 IPC and investigation is in progress at Belagavi North PS."
8,304540078202600001,202600001,2025-12-26,109,78,2,1,1,6,2,35,2025-12-23T20:35:52,2025-12-23T23:37:52,2025-12-25T01:35:52,14.58305,75.836171,"The complainant Indrajit Sankaran reported that on 2025-12-23 at about 20:35 hours, Falan Narain, Faraj Bedi and Udant Thaman committed an offence of kidnapping involving Indrajit Sankaran within the limits of Davanagere Town PS, Davanagere. A case has been registered under Section 363 IPC, Section 365 IPC and investigation is in progress at Davanagere Town PS."
9,804570097202600001,202600001,2025-03-17,378,97,4,2,2,9,3,,2025-03-14T16:26:46,2025-03-14T17:32:46,2025-03-15T13:26:46,12.42038,77.04713,"The complainant Om Butala reported that on 2025-03-14 at about 16:26 hours, Ronith Divan committed an offence of burglary involving Om Butala within the limits of Mandya Central PS, Mandya. A case has been registered under Section 457 IPC, Section 380 IPC and investigation is in progress at Mandya Central PS."
10,104510052202600001,202600001,2025-03-26,205,52,1,1,1,6,3,,2025-03-25T03:33:16,2025-03-25T05:40:16,2025-03-25T06:33:16,16.900997,75.713884,"The complainant Dhruv Deshmukh reported that on 2025-03-25 at about 03:33 hours, Siddharth Khatri, Aryan Rastogi and Brijesh Rastogi committed an offence of kidnapping involving Ira Sura within the limits of Vijayapura East PS, Vijayapura. A case has been registered under Section 363 IPC, Section 365 IPC and investigation is in progress at Vijayapura East PS."
