ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Matthew Ahuja,50,3,2,,1
2,2,Advay Majumdar,27,8,4,1,1
3,3,Pranav Dugal,28,9,6,5,1
4,4,Charita Ratta,18,5,1,3,2
5,5,Gabriel Sura,34,8,7,2,1
6,6,Balveer Bhalla,49,5,1,2,1
7,7,Darpan Karan,36,6,3,3,1
8,8,Indrajit Sankaran,34,1,4,2,1
9,9,Om Butala,21,7,4,2,1
10,10,Dhruv Deshmukh,18,8,2,1,1
11,11,Qadim Pall,52,9,7,2,1
12,12,Vaishnavi Dhingra,20,1,1,4,2
13,13,Dayita Bhagat,40,6,4,3,2
14,14,Umang Sinha,42,5,6,4,1
15,15,Harsh Virk,34,9,2,,1
16,16,Warhi Dhaliwal,29,5,2,,2
17,17,Avi Shroff,56,8,3,4,1
18,18,Madhav Raju,30,7,5,2,1
19,19,Idika Issac,32,1,4,2,2
20,20,Matthew Keer,29,8,6,3,1
21,21,Alexander Mammen,32,1,7,4,1
22,22,Ishaan Sahni,40,3,3,3,1
23,23,Upasna Dhillon,46,5,4,1,2
24,24,Tripti Mitter,28,,2,1,2
25,25,Amara Loke,36,4,6,2,2
26,26,Praneel Buch,46,,6,3,1
27,27,Gautami Hans,29,7,6,,2
28,28,Isha Jayaraman,32,9,7,,2
29,29,Omaja Shankar,21,6,2,5,2
30,30,Zaitra Barad,41,6,5,2,2
31,31,Vihaan Ganesan,24,3,1,3,1
32,32,Vincent Seth,40,7,5,2,1
33,33,Ekansh Ramaswamy,40,7,1,1,1
34,34,Hemal Setty,30,4,5,3,2
35,35,Pratyush Chada,18,2,,1,1
36,36,Elijah Gola,45,7,4,1,1
37,37,Dhriti Deep,35,6,3,5,2
38,38,Aahana Tak,28,3,5,2,2
39,39,Aarini Konda,49,4,7,1,2
40,40,Neha Narula,54,1,1,,2
41,41,Anita Chander,50,9,3,4,2
42,42,Madhav Sinha,34,1,3,,1
43,43,Jagrati Bhardwaj,30,2,6,4,3
44,44,Yuvraj Tailor,40,3,2,1,1
45,45,Abdul Jaggi,23,3,1,4,1
46,46,Gagan Hari,32,4,3,3,1
47,47,Faras Sharma,31,8,2,1,1
48,48,Hemang Narula,37,,3,3,1
