PersonIdentityID,FullName,AgeYear,GenderID,IsRepeatOffender,GangID
1,Tarak Subramanian,23,M,1,1
2,Gabriel Dave,16,M,1,1
3,Rishi Nagy,43,M,1,1
4,Shaurya Kothari,38,M,1,1
5,Rushil Oza,36,M,1,1
6,Upkaar Deol,45,M,1,1
7,Samuel Vala,42,M,1,1
8,Naksh Kalla,35,M,1,1
9,Jagrati Mannan,40,F,1,2
10,Dominic Gokhale,16,M,1,2
11,Dalbir Pandey,22,M,1,2
12,Sathvik Walla,44,M,1,2
13,Siddharth Arya,24,M,1,2
14,Amaira Raj,20,F,1,2
15,Avi Bhalla,16,M,1,2
16,Lila Dyal,27,F,1,3
17,Jeremiah Dhingra,40,M,1,3
18,Manbir Jani,42,M,1,3
19,Rachita Sethi,45,F,1,3
20,Isaac Ramachandran,35,M,1,4
21,Maanas Batta,46,M,1,4
22,Rishi Saha,20,M,1,4
23,Avi Arya,32,M,1,4
24,Harrison Savant,27,M,1,5
25,Qarin Hegde,28,M,1,5
26,Manan Sen,28,M,1,5
27,Baljiwan Grover,45,M,1,6
28,Darpan Purohit,29,M,1,6
29,Upadhriti Mallick,26,F,1,6
30,Dhruv Dyal,28,M,1,6
31,Aarnav Narayanan,32,M,1,6
32,Faras Baral,17,M,1,7
33,Neel Behl,31,M,1,7
34,Yatan Parmar,24,M,1,7
35,Nathan Vora,31,M,1,7
36,George Verma,44,M,1,7
37,Zayyan Dutta,31,M,1,8
38,Saksham Chanda,29,M,1,8
39,Indrajit Kala,32,M,1,8
40,Noah Patel,34,M,1,8
41,Janani Wali,16,F,1,8
42,Aayush Contractor,40,M,1,8
43,Udant Khosla,34,M,1,8
44,Anmol Nagi,44,M,1,8
45,Dakshesh Raju,38,M,1,9
46,Lohit Bakshi,44,M,1,9
47,Udant Sur,27,M,1,9
48,Manbir Hans,28,M,1,9
49,Benjamin Char,19,M,1,9
50,Aarush Bhatti,37,M,1,9
51,Jalsa Samra,16,F,1,10
52,Ishanvi Yogi,17,T,1,10
53,Balendra Dube,17,M,1,10
54,Victor Narula,34,M,1,10
55,Caleb Borah,35,M,1,10
56,Gaurav Krishnamurthy,34,M,1,10
57,Jhalak Kuruvilla,25,F,1,10
58,Rishi Seshadri,31,M,1,11
59,Tarak Mutti,32,M,1,11
60,Robert Dani,38,M,1,11
61,Azad Bath,29,M,1,12
62,Praneel Thakkar,16,M,1,12
63,Maanav Mitra,26,M,1,12
64,Megha Sarma,31,F,1,12
65,Rudra Balasubramanian,23,M,1,12
66,Farhan Walla,26,M,1,12
67,Ekanta Raman,31,F,1,13
68,Ekbal Misra,35,M,1,13
69,Abdul Dhaliwal,25,M,1,13
70,Anvi Ahluwalia,34,F,1,13
71,Brijesh Mody,28,M,1,13
72,Orinder Kakar,29,M,1,13
73,Ekavir Dyal,26,M,1,13
74,Indrajit Krishnan,27,M,1,13
75,Dakshesh Golla,16,M,1,14
76,Vihaan Bora,16,M,1,14
77,Bahadurjit Krishna,29,M,1,14
78,Hardik Sur,27,M,1,14
79,Pranav Dave,25,M,1,14
80,Chandresh Mane,32,M,1,14
81,Gunbir Nadkarni,34,M,1,15
82,Umang Narasimhan,17,M,1,15
83,Faraj Patla,50,M,1,15
84,Tanish Ganguly,27,M,1,15
85,Naksh Koshy,16,M,1,15
86,Tejas Malhotra,33,M,1,16
87,Ekalinga Narula,41,M,1,16
88,Vihaan Sehgal,31,M,1,16
89,Michael Sur,24,M,1,16
90,Harita Bumb,33,F,1,16
91,Ekiya Yohannan,49,F,1,16
92,Karan Bose,19,M,1,16
93,Aditya Tripathi,16,M,1,17
94,Samaksh Kala,34,M,1,17
95,Kalpit Zacharia,16,M,1,17
96,Falan Pau,33,M,1,18
97,Isaac Mannan,29,M,1,18
98,Vincent Thaker,30,M,1,18
99,Rushil Patla,26,M,1,19
100,Jagdish Gandhi,44,M,1,19
101,Udant Dutta,25,M,1,19
102,Elijah Sule,45,M,1,19
103,Anmol Kanda,42,M,1,20
104,Jack Bhatnagar,29,M,1,20
105,Qasim Kaur,39,M,1,20
106,Harshil Vasa,49,M,1,20
107,Rishi Singh,45,M,1,20
108,Arin Baral,31,M,1,20
109,Charan Verma,22,M,1,20
110,Karan Ghosh,29,M,1,20
111,Saanvi Pau,16,F,1,21
112,Jeremiah Puri,26,M,1,21
113,Samaksh Pandit,42,M,1,21
114,Yagnesh Subramaniam,19,M,1,21
115,Yamini Dewan,21,F,1,21
116,Fitan Karpe,16,M,1,21
117,Logan Kakar,24,M,1,21
118,Girik Dugar,24,M,1,21
119,Daniel Karpe,16,M,1,22
120,Noah Comar,24,M,1,22
121,Wriddhish Srinivas,16,M,1,22
122,Faris Roy,27,M,1,22
123,Jairaj Bassi,41,M,1,22
124,Faris Desai,19,M,1,22
125,Ethan Bhalla,21,M,1,22
126,Kai Gole,50,M,1,23
127,Aditya Mander,39,M,1,23
128,Hritik Sen,34,M,1,23
129,Wridesh Garde,42,M,1,23
130,Samesh Dhar,41,M,1,23
131,Kevin Ganesh,27,M,1,23
132,Utkarsh Biswas,44,M,1,23
133,Ranbir Rajan,34,M,1,24
134,Darika Babu,29,F,1,24
135,Zayyan Saini,49,M,1,24
136,Chanakya Goel,41,M,1,24
137,Anjali Wali,37,F,1,24
138,Chakradhar Subramaniam,36,M,1,24
139,Aadi Sankar,39,M,1,24
140,Qasim Bassi,22,M,1,24
141,Ishwar Subramaniam,21,M,1,25
142,Parth Chaudhari,16,M,1,25
143,Ekalinga Kumar,30,M,1,25
144,Jackson Chacko,28,M,1,25
145,Samarth Kurian,37,M,1,25
146,Aarnav Amble,16,M,1,26
147,Aarush Prashad,23,M,1,26
148,Nakul Rege,43,M,1,26
149,Chatresh Dubey,24,M,1,26
150,Jonathan Lal,16,M,1,26
151,Qadim Majumdar,42,M,1,26
152,Harsh Sachdev,44,M,1,26
153,Gaurav Prabhakar,25,M,1,27
154,Jonathan Mohanty,36,M,1,27
155,Rushil Devi,25,M,1,27
156,Ishwar Sekhon,55,M,1,27
157,Chandresh Kala,24,M,1,27
158,Omkaar Ben,29,M,1,28
159,Robert Ahluwalia,28,M,1,28
160,Elijah Sinha,26,M,1,28
161,Chaitanya Bhatt,28,M,1,28
162,Indrajit Prabhakar,35,M,1,29
163,Anirudh Rajagopalan,27,M,1,29
164,Yoshita Mangat,16,F,1,29
165,Gagan Talwar,16,M,1,29
166,Abdul Jaggi,39,M,1,29
167,Indali Bandi,21,F,1,30
168,Frado Banik,37,M,1,30
169,Jagdish Acharya,30,M,1,30
170,Caleb Majumdar,31,M,1,31
171,Patrick Rana,25,M,1,31
172,Irya Vasa,24,F,1,31
173,Bhavya Chana,31,F,1,31
174,Owen Palan,16,M,1,31
175,Isaiah Hayer,27,M,1,31
176,Saksham Agrawal,16,M,1,31
177,Gagan Ray,28,M,1,31
178,Balhaar Thakur,31,M,1,32
179,Onkar Dada,16,M,1,32
180,Jeremiah Savant,42,M,1,32
181,Wyatt Kohli,44,M,1,32
182,Veer Sharma,35,M,1,32
183,Wridesh Dada,38,M,1,32
184,Bahadurjit Raja,27,M,1,32
185,Ishwar Mutti,16,M,1,32
186,Qushi Varty,36,F,1,33
187,Karan Kothari,17,M,1,33
188,Chakradhar Rastogi,31,M,1,33
189,Bishakha Gokhale,27,F,1,34
190,Naksh Pandya,35,M,1,34
191,Krish Goswami,25,M,1,34
192,Zaid Iyengar,36,M,1,35
193,Jai Lanka,24,M,1,35
194,Jyoti Jain,28,F,1,35
195,Pranav Dugal,21,M,1,35
196,Darpan Brar,36,M,1,35
197,Aarini Basak,16,F,1,36
198,Quincy Murty,40,M,1,36
199,Laksh Swaminathan,36,M,1,36
200,Logan Rao,34,M,1,36
201,Devansh Bhagat,34,M,1,36
202,Waida Zachariah,30,F,1,36
203,Zayan Palan,39,M,1,36
204,Harita Shankar,36,F,1,36
205,Victor Mutti,18,M,1,37
206,Abha Kade,34,F,1,37
207,Chandresh Nanda,35,M,1,37
208,Kai Grover,23,M,1,37
209,Jagat Luthra,26,M,1,37
210,Onveer Pau,43,M,1,37
211,Zaid Samra,31,M,1,38
212,Shaurya Pradhan,31,M,1,38
213,Suhani Mammen,36,F,1,38
214,Gautam Deep,21,M,1,38
215,Daksha Madan,20,F,1,38
216,Tarak Raj,36,M,1,38
217,Elijah Doctor,36,M,1,38
218,Aarna Goda,36,T,1,38
219,Zaid Desai,23,M,1,39
220,Yagnesh Mital,39,M,1,39
221,Arjun Rao,20,M,1,39
222,Finn Bhasin,16,M,1,40
223,Joshua Soni,38,M,1,40
