VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,3,Libni Peri,39,F,0
2,7,Rayaan Bhagat,60,M,0
3,7,Zaitra Barman,53,F,0
4,10,Ira Sura,5,F,0
5,10,Indira Viswanathan,19,F,0
6,12,Anthony Kaur,28,M,0
7,12,Ridhi Dugal,32,F,0
8,13,Ethan Mani,16,M,0
9,16,Raghav Vyas,13,M,0
10,17,Bahadurjit Rama,41,M,0
11,18,Sachi Trivedi,44,F,0
12,19,Alka Baral,42,F,0
13,20,Bhavani Kurian,24,F,0
14,22,Faraj Sandhu,30,M,0
15,22,Omya Sen,42,F,0
16,23,Nathan Bir,44,M,0
17,23,George Nadkarni,26,M,0
18,24,Laksh Doshi,53,M,0
19,26,Ekalinga Thakkar,24,M,0
20,26,Rachit Gour,13,M,0
21,27,Anamika Rege,43,F,0
22,30,Upkaar Shan,21,M,0
23,30,Krisha Venkataraman,62,F,0
24,33,Neel Seshadri,28,M,0
25,34,Vasana Chana,39,F,0
26,35,Yashodhara Dutta,29,F,0
27,35,Ranveer Bassi,47,M,0
28,37,Aarav Kulkarni,15,M,0
29,39,Ishita Bawa,53,F,0
30,39,Falak Bhakta,30,F,0
31,40,Arya Chopra,23,F,0
32,41,Ojasvi Pillay,27,F,0
33,42,Divya Maharaj,29,F,0
34,44,Jackson Mannan,26,M,0
35,44,Aachal Dani,16,F,0
36,45,Lakshmi Bir,43,T,0
37,46,Omkaar Srinivas,14,M,0
38,47,Vedhika Sachdev,1,F,0
39,47,Mason Mutti,47,M,0
40,49,Fitan Ramachandran,56,M,0
41,50,Anamika Magar,30,F,0
42,53,Ikshita Oak,39,F,0
43,55,Aahana Mukhopadhyay,14,F,0
44,58,Deepa Aurora,52,F,0
45,58,Ishanvi Palla,48,F,0
46,59,Nimrat Nigam,37,F,0
47,61,Viraj Deep,54,M,0
48,62,Kala Kapur,41,F,0
49,63,Bachittar Soman,13,M,0
50,65,Tanmayi Chhabra,28,F,0
51,66,Jairaj Dutt,26,M,0
52,67,Hemang Sankar,18,M,0
53,70,Ekiya Acharya,28,F,0
54,72,Qasim Bera,63,M,0
55,73,Tanmayi Raj,45,F,0
56,76,Ekbal Sur,29,M,0
57,80,Logan Shroff,29,M,0
58,81,Brinda Zacharia,55,F,0
59,82,Manan Mann,64,M,0
60,83,Ati Manne,41,F,0
61,84,Maya Krishnan,26,F,0
62,86,Ganga Tandon,38,F,0
63,88,Ranveer Ramakrishnan,36,M,0
64,89,Sai Mutti,32,F,0
65,90,Lakshmi Raman,41,T,0
66,91,Tripti Chaudhari,46,F,0
67,92,Anika Bajwa,38,F,0
68,94,Lavanya Edwin,29,F,0
69,96,Irya Ramaswamy,27,F,0
70,97,Vaishnavi Lad,45,F,0
71,99,Aadhya Varma,39,F,0
72,100,Divya Wason,34,F,0
73,105,Yahvi Walla,21,F,0
74,105,Abhiram Bansal,53,M,0
